i,s
0,0.098006
1,0.089139
2,0.089548
3,0.080942
4,0.084752
5,0.077511
6,0.085407
7,0.072440
8,0.063159
9,0.086088
10,0.061819
11,0.086589
12,0.088525
13,0.074440
14,0.069061
15,0.098352
16,0.070603
17,0.086113
18,0.083895
19,0.055662
20,0.065777
21,0.070859
22,0.059936
23,0.069217
24,0.078884
25,0.077818
26,0.073056
27,0.066970
28,0.067819
29,0.072147
30,0.059403
31,0.096658
32,0.069812
33,0.058536
34,0.066494
35,0.078301
36,0.073280
37,0.075597
38,0.073841
39,0.073033
40,0.075590
41,0.068183
42,0.073445
43,0.079808
44,0.091547
45,0.070283
46,0.051592
47,0.076560
48,0.052925
49,0.069110
50,0.069218
51,0.052804
52,0.073777
53,0.060334
54,0.072696
55,0.077034
56,0.065879
57,0.071110
58,0.090273
59,0.091088
60,0.060034
61,0.070302
62,0.062980
63,0.058214
64,0.071979
65,0.053514
66,0.051983
67,0.068813
68,0.069331
69,0.060184
70,0.066075
71,0.073452
72,0.077390
73,0.071918
74,0.055759
75,0.060030
76,0.065210
77,0.071866
78,0.055398
79,0.083240
80,0.066578
81,0.071179
82,0.087806
83,0.046836
84,0.084018
85,0.081772
86,0.083780
87,0.068689
88,0.053766
89,0.065660
90,0.060050
91,0.073877
92,0.077640
93,0.066414
94,0.054172
95,0.078127
96,0.057137
97,0.071340
98,0.071501
99,0.073688
100,0.067369
101,0.056637
102,0.063638
103,0.064169
104,0.070830
105,0.073376
106,0.067288
107,0.071780
108,0.077138
109,0.073288
110,0.062113
111,0.080215
112,0.084394
113,0.069907
114,0.078704
115,0.066085
116,0.073685
117,0.057279
118,0.075658
119,0.070105
120,0.061381
121,0.076359
122,0.071314
123,0.075689
124,0.085104
125,0.073009
126,0.081451
127,0.066853
